id,first_name,last_name,executive_year,executive_position,
,Gary,Thomas,2002,Past President,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Phil,Beaudoin,2003,President,
,Bob,Spence,2003,Vice President,
,Doug,Jackson,2003,Secretary,
,Paul,Taylor,2003,Treasurer,
,Bob,Ishibashi,2003,Registrar,
,Wayne,Jessop,2003,House League Convenor,
,Jim,Beach,2003,Travelling Teams' Convenor,
,Bob,Gill,2003,Equipment Manager,
,John,Pintaric,2003,Statistician,
,Pat,Baldwin,2003,Special Events Coordinator,
,Phil,Beaudoin,2003,Past President,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Phil,Beaudoin,2004,President,
,Mike,Filinski,2004,Vice President,
,Mike,D'Angelo,2004,Secretary,
,Paul,Taylor,2004,Treasurer,
,Bob,Ishibashi,2004,Registrar,
,Wayne,Jessop,2004,House League Convenor,
,Gary,Whalen,2004,Travelling Teams' Convenor,
,Bob,Gill,2004,Equipment Manager,
,John,Pintaric,2004,Statistician,
,Guy,Douglas,2004,Special Events Coordinator,
,Grant,Ostrosser,2004,Past President,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Phil,Beaudoin,2005,President,
,Mike,Filinski,2005,Vice President,
,Mike,D'Angelo,2005,Secretary,
,Paul,Taylor,2005,Treasurer,
,Bob,Ishibashi,2005,Registrar,
,Wayne,Jessop,2005,House League Convenor,
,Todd,Breedon,2005,Travelling Teams' Convenor,
,Bob,Gill,2005,Masters' Team Convenor,
,John,Pintaric,2005,Equipment Manager,
,Guy,Douglas,2005,Statistician,
,Grant,Ostrosser,2005,Special Events Coordinator,
,Gary,Whalen,2005,Executive Officer,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Mike,Filinski,2006,President,
,Phil,Beaudoin,2006,Past President,
,Todd,Breedon,2006,Vice President,
,vacant,vacant,2006,Secretary,
,Paul,Taylor,2006,Treasurer,
,Brian,Stirling,2006,Registrar,
,Jim,Coons,2006,House League Convenor,
,Vern,Wilson,2006,Travelling Teams' Convenor,
,Gary,Whalen,2006,Equipment Manager,
,John,Pintaric,2006,Statistician,
,Guy,Douglas,2006,Special Events Coordinator,
,Grant,Ostrosser,2006,Youngtimers' Convenor,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Mike,Filinski,2007,President,
,Phil,Beaudoin,2007,Past President,
,Todd,Breedon,2007,Vice President,
,Paul,Taylor,2007,Treasurer,
,Doug,Duke,2007,Secretary,
,Brian,Stirling,2007,Registrar,
,Jim,Coons,2007,House League Convenor,
,Jim,Bartlett,2007,Travelling Teams' Convenor,
,vacant,vacant,,Youngtimers Convenor,
,Gary,Whalen,2007,Equipment Manager,
,John,Pintaric,2007,Statistician,
,Don,Murray,2007,Special Events Coordinator,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Mike,Filinski,2008,President,
,Phil,Beaudoin,2008,Executive Officer,
,Gary,Whalen,2008,Vice President,
,Paul,Taylor,2008,Treasurer,
,Dave,St. Martin,2008,Secretary,
,Jim,Coons,2008,Operations Manager,
,John,Pintaric,2008,Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Mike,Filinski,2009,President,
,Doug,Jackson,2009,Past President,
,Gary,Whalen,2009,Vice President,
,Paul,Taylor,2009,Treasurer,
,Dave,St. Martin,2009,Secretary,
,Phil,Beaudoin,2009,Baseball Operations Manager,
,John,Pintaric,2009,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Mike,Filinski,2010,President,
,Phil,Beaudoin,2010,Past President,
,Dave,Cole,2010,Executive Officer,
,Wally,Cassell,2010,Vice President,
,Paul,Taylor,2010,Treasurer,
,Dave,St. Martin,2010,Secretary,
,John,Pintaric,2010,Statistician,
,Ted,Fauteux,2010,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Mike,Filinski,2011,President,
,Rob,Mizgala,2011,Executive Officer,
,Joe,Gerrior,2011,Vice President,
,Paul,Taylor,2011,Treasurer,
,Dave,St. Martin,2011,Secretary,
,Ted,Fauteux,2011,Business Operations Manager,
,,,,,
id,first_name,last_name,executive_year,executive_position,
,Mike,Filinski,2012,President,
,Rob,Mizgala,2012,Executive Officer,
,Joe,Gerrior,2012,Vice President,
,Paul,Taylor,2012,Treasurer,
